　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　摩登时代　　　　　　　　	   9.2    	  112236  	大时代中的人生，小人物的悲喜。
　　　　　　　　　一一　　　　　　　　　	   8.9    	  180826  	我们都曾经是一一。　
　　　　　　　　甜蜜蜜　　　　　　　　　	   8.8    	  265893  	相逢只要一瞬间，等待却像是一辈子。
　　　　　射雕英雄传之东成西就　　　　　	   8.7    	  321867  	百看不厌。 　　　　
　　　　　　　阳光姐妹淘　　　　　　　　	   8.8    	  317185  	再多各自牛逼的时光，也比不上一起傻逼的岁月。 
　　　　　　　消失的爱人　　　　　　　　	   8.7    	  428253  	年度最佳date movie。
　　　　　　爱在黎明破晓前　　　　　　　	   8.7    	  264211  	缘分是个连绵词，最美不过一瞬。
　　　　　　　　上帝之城　　　　　　　　	   8.9    	  177110  	被上帝抛弃了的上帝之城。
　　　　　　　　侧耳倾听　　　　　　　　	   8.8    	  204590  	少女情怀总是诗。　　
　　　　　　爱在日落黄昏时　　　　　　　	   8.8    	  233700  	九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
　　　　　　　　风之谷　　　　　　　　　	   8.8    	  205000  	动画片的圣经。　　　
　　　　　　　　　超脱　　　　　　　　　	   8.8    	  210095  	穷尽一生，我们要学会的，不过是彼此拥抱。
　　　　　　小森林 夏秋篇　　　　　　　	   8.9    	  171114  	那些静得只能听见呼吸的日子里，你明白孤独即生活。
　　　　　　　　喜剧之王　　　　　　　　	   8.6    	  384988  	我是一个演员。　　　
　　　　　　　　倩女幽魂　　　　　　　　	   8.6    	  312914  	两张绝世的脸。 　　
　　　　　　　　恐怖直播　　　　　　　　	   8.7    	  276242  	恐怖分子的“秋菊打官司”。
　　　　　　　　红辣椒　　　　　　　　　	   8.9    	  164262  	梦的勾结。　　　　　
　　　　　　　菊次郎的夏天　　　　　　　	   8.8    	  224529  	从没见过那么流氓的温柔，从没见过那么温柔的流氓。
　　　　　　　　驯龙高手　　　　　　　　	   8.7    	  339773  	和谐的生活离不开摸头与被摸头。
　　　　　　　幸福终点站　　　　　　　　	   8.7    	  261433  	有时候幸福需要等一等。 
　　　　　　　　神偷奶爸　　　　　　　　	   8.5    	  456161  	Mr. I Don't Care其实也有Care的时候。
　　　　　借东西的小人阿莉埃蒂　　　　　	   8.7    	  252858  	曾经的那段美好会沉淀为一辈子的记忆。
　　　　　　　　岁月神偷　　　　　　　　	   8.6    	  346237  	岁月流逝，来日可追。
　　　　　　　　杀人回忆　　　　　　　　	   8.7    	  243640  	关于连环杀人悬案的集体回忆。
　　　　　　　　七武士　　　　　　　　　	   9.2    	  91159   	时代悲歌。　　　　　
　　　　　　　萤火虫之墓　　　　　　　　	   8.7    	  233609  	幸福是生生不息，却难以触及的远。 
　　　　　　　怪兽电力公司　　　　　　　	   8.6    	  290654  	不要给它起名字，起了名字就有感情了。
　　　　　　　谍影重重3　　　　　　　　	   8.7    	  211239  	像吃了苏打饼一样干脆的电影。
　　　　　　　　　喜宴　　　　　　　　　	   8.8    	  163427  	中国家庭的喜怒哀乐忍。
　　　　　　小森林 冬春篇　　　　　　　	   9.0    	  148052  	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
　　　　　　贫民窟的百万富翁　　　　　　	   8.5    	  439717  	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
　　　　　　　　电锯惊魂　　　　　　　　	   8.7    	  228792  	真相就在眼前。　　　
　　　　　　　　东邪西毒　　　　　　　　	   8.6    	  296084  	电影诗。　　　　　　
　　　　　请以你的名字呼唤我　　　　　　	   8.8    	  228555  	沉醉在电影的情感和视听氛围中无法自拔。
　　　　　　　　记忆碎片　　　　　　　　	   8.6    	  320871  	一个针管引发的血案。
　　　　　　　　真爱至上　　　　　　　　	   8.5    	  355634  	爱，是个动词。　　　
　　　　　　　　黑天鹅　　　　　　　　　	   8.5    	  475568  	黑暗之美。　　　　　
　　　　　　　疯狂原始人　　　　　　　　	   8.7    	  427544  	老少皆宜，这就是好莱坞动画的魅力。
　　　哈利·波特与死亡圣器(下)　　　　	   8.7    	  323173  	10年的完美句点。　
　　　　　　　　萤火之森　　　　　　　　	   8.8    	  196177  	触不到的恋人。　　　
　　　　　　　7号房的礼物　　　　　　　	   8.7    	  213034  	《我是山姆》的《美丽人生》。
　　　　　　　　　雨人　　　　　　　　　	   8.6    	  233327  	生活在自己的世界里，也可以让周围的人显得可笑和渺小。
　　　　　　　　英雄本色　　　　　　　　	   8.6    	  209477  	英雄泪短，兄弟情长。 
　　　　　　　卢旺达饭店　　　　　　　　	   8.9    	  139732  	当这个世界闭上双眼，他却敞开了怀抱。
　　　　　　　　　海洋　　　　　　　　　	   9.0    	  106754  	大海啊，不全是水。　
　　　　　　　　心迷宫　　　　　　　　　	   8.7    	  218887  	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
　　　　　　　超能陆战队　　　　　　　　	   8.6    	  444161  	Balalala~~~
　　　　　　　唐伯虎点秋香　　　　　　　	   8.5    	  407712  	华太师是黄霑，吴镇宇四大才子之一。
　　　　　蝙蝠侠：黑暗骑士崛起　　　　　	   8.6    	  341007  	诺兰就是保证。　　　
　　　　　　　　荒蛮故事　　　　　　　　	   8.8    	  175262  	始于荒诞，止于更荒诞。
　　　　　　　傲慢与偏见　　　　　　　　	   8.5    	  353922  	爱是摈弃傲慢与偏见之后的曙光。
　　　　　　海边的曼彻斯特　　　　　　　	   8.6    	  240677  	我们都有权利不与自己的过去和解。
　　　　　　　　虎口脱险　　　　　　　　	   8.9    	  120724  	永远看不腻的喜剧。　
　　　　　　　　纵横四海　　　　　　　　	   8.7    	  178211  	香港浪漫主义警匪动作片的巅峰之作。
　　　　　　　　燃情岁月　　　　　　　　	   8.7    	  164076  	传奇，不是每个人都可以拥有。
　　　　　　　　教父3　　　　　　　　　	   8.8    	  154639  	任何信念的力量，都无法改变命运。
　　　　　　　时空恋旅人　　　　　　　　	   8.6    	  242459  	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
　　　　　　　玩具总动员3　　　　　　　	   8.8    	  221624  	跨度十五年的欢乐与泪水。
　　　　　　　　花样年华　　　　　　　　	   8.5    	  283911  	偷情本没有这样美。　
　　　　　　　完美的世界　　　　　　　　	   9.0    	  96693   	坏人的好总是比好人的好来得更感人。
　　　　　　　恋恋笔记本　　　　　　　　	   8.5    	  327824  	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
　　　　　　　　无人知晓　　　　　　　　	   9.1    	  90102   	我的平常生活就是他人的幸福。
　　　　　　达拉斯买家俱乐部　　　　　　	   8.7    	  218047  	Jared Leto的腿比女人还美！
　　　　　　　　二十二　　　　　　　　　	   8.7    	  128484  	有一些东西不应该被遗忘。
　　　　　　　　雨中曲　　　　　　　　　	   9.0    	  105286  	骨灰级歌舞片。　　　
　　　　　　　　魂断蓝桥　　　　　　　　	   8.8    	  145005  	中国式内在的美国电影。
　　　　　　　　猜火车　　　　　　　　　	   8.5    	  275427  	不可猜的青春迷笛。 
　　　　　　　血战钢锯岭　　　　　　　　	   8.7    	  380112  	优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
　　　　　　穿越时空的少女　　　　　　　	   8.6    	  209124  	爱上未来的你。 　　
　　　　　　　　我是山姆　　　　　　　　	   8.8    	  122737  	爱并不需要智商 。　
　　　　　　　　冰川时代　　　　　　　　	   8.5    	  315053  	松鼠才是角儿。　　　
　　　　　　　　人工智能　　　　　　　　	   8.6    	  218513  	对爱的执着，可以超越一切。
　　　　　　　　爆裂鼓手　　　　　　　　	   8.6    	  273566  	这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
　　　　　　　　　浪潮　　　　　　　　　	   8.7    	  150800  	世界离独裁只有五天。
　　　　　　　未麻的部屋　　　　　　　　	   8.8    	  117183  	好的剧本是，就算你猜到了结局也猜不到全部。
　　　　　　　　罗生门　　　　　　　　　	   8.7    	  146550  	人生的N种可能性。　
　　　　　　　　朗读者　　　　　　　　　	   8.5    	  303380  	当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
　　　　　　　被解救的姜戈　　　　　　　	   8.6    	  295907  	热血沸腾，那个低俗、性感的无耻混蛋又来了。
　　　　　　　头脑特工队　　　　　　　　	   8.7    	  272418  	愿我们都不用长大，每一座城堡都能永远存在。
　　　　　　　　　香水　　　　　　　　　	   8.4    	  312976  	一个单凭体香达到高潮的男人。
　　　　　　　　阿飞正传　　　　　　　　	   8.5    	  241181  	王家卫是一种风格，张国荣是一个代表。
　　　　　　　你的名字。　　　　　　　　	   8.4    	  577755  	穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
　　　　　　　　可可西里　　　　　　　　	   8.7    	  147393  	坚硬的信仰。　　　　
